                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                0.75477,                0.96405,                 1.3079,                0.79354,                0.81625,                0.85432,                0.68052,                0.77175,                0.68035,                 1.4559,               0.008992,               0.008992,               0.008992
                    115,                0.74762,                  0.944,                 1.3028,                0.81254,                0.80587,                0.85447,                0.68085,                0.77113,                0.68235,                 1.4564,               0.008983,               0.008983,               0.008983
                    116,                0.74598,                 0.9405,                 1.3016,                0.80422,                0.80975,                0.85398,                0.68013,                0.77052,                0.68375,                 1.4554,               0.008974,               0.008974,               0.008974
                    117,                0.74854,                0.93971,                 1.3046,                0.80662,                0.80847,                0.85438,                0.68054,                0.77167,                0.68492,                 1.4567,               0.008965,               0.008965,               0.008965
                    118,                0.75088,                0.94448,                 1.3053,                0.81181,                0.80617,                 0.8547,                0.68074,                0.77207,                0.68111,                 1.4579,               0.008956,               0.008956,               0.008956
                    119,                0.74589,                 0.9421,                    1.3,                0.79382,                0.82248,                0.85545,                0.68186,                0.77236,                0.68146,                 1.4574,               0.008947,               0.008947,               0.008947
                    120,                0.75516,                0.94149,                 1.3086,                0.79169,                0.82301,                0.85492,                0.68055,                0.77188,                 0.6839,                 1.4565,               0.008938,               0.008938,               0.008938
                    121,                0.75176,                0.94164,                  1.305,                0.79971,                0.81288,                0.85558,                0.68189,                0.77214,                0.68358,                 1.4563,               0.008929,               0.008929,               0.008929
                    122,                0.75168,                 0.9341,                  1.304,                0.79025,                0.82528,                0.85702,                0.68152,                 0.7719,                0.68242,                  1.456,                0.00892,                0.00892,                0.00892
                    123,                0.74714,                0.93547,                 1.3015,                0.79011,                0.82194,                0.85719,                0.68248,                0.77219,                0.68375,                 1.4575,               0.008911,               0.008911,               0.008911
