                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    146,                0.74011,                0.92475,                 1.4772,                0.80096,                0.80031,                0.85209,                0.67819,                0.76786,                0.69144,                 1.5848,               0.008704,               0.008704,               0.008704
                    147,                 0.7395,                0.92611,                 1.4812,                0.79621,                 0.8083,                0.85237,                0.67907,                0.76745,                0.69092,                  1.584,               0.008695,               0.008695,               0.008695
                    148,                0.73558,                0.91301,                 1.4738,                0.78382,                0.82142,                0.85302,                0.67949,                0.76687,                0.69021,                 1.5843,               0.008686,               0.008686,               0.008686
                    149,                0.73732,                0.92183,                 1.4696,                0.78695,                0.81554,                0.85288,                0.67926,                0.76668,                0.69014,                  1.584,               0.008677,               0.008677,               0.008677
                    150,                0.73395,                0.91709,                 1.4744,                0.78187,                0.82211,                0.85226,                0.67951,                0.76667,                0.69027,                 1.5846,               0.008668,               0.008668,               0.008668
                    151,                0.73549,                0.91008,                 1.4727,                0.78994,                0.81256,                0.85247,                0.67931,                0.76708,                0.68979,                 1.5856,               0.008659,               0.008659,               0.008659
                    152,                0.74046,                0.91533,                 1.4708,                0.77348,                0.83201,                0.85279,                0.67993,                0.76733,                0.68968,                 1.5859,                0.00865,                0.00865,                0.00865
                    153,                0.74085,                0.91278,                 1.4725,                0.79191,                0.81422,                0.85363,                0.68044,                0.76706,                0.68903,                 1.5854,               0.008641,               0.008641,               0.008641
                    154,                0.72886,                0.90543,                 1.4658,                0.78798,                0.82096,                0.85383,                0.68116,                0.76683,                0.68879,                 1.5857,               0.008632,               0.008632,               0.008632
                    155,                0.73164,                0.90016,                 1.4673,                0.78599,                0.82131,                0.85406,                0.68112,                0.76673,                0.68841,                 1.5864,               0.008623,               0.008623,               0.008623
                    156,                 0.7299,                0.90856,                 1.4657,                0.78457,                0.82384,                0.85367,                 0.6803,                0.76689,                0.68807,                 1.5866,               0.008614,               0.008614,               0.008614
